"","text"
"103","mechi imehairishwa coz ya "
"104","mehngai bhi  dekhien ğÿ˜›ğÿ˜™ğÿÿğÿ˜‰  coronainpakistan coronaupdate â€"
"105","fascinant  â€"
"106"," gimanagimana program cegah   pemerintah   tancap gas   acung jempol    rakyat     negatif kena  ya  patuh   suai anjuran"
"107","total     orang status pasien  awas pdp    tinggal dunia  nusa tenggara barat ntb â€"
"108","yth bpk ganjar pranowo  farel sibarani  bantu pemda jateng putus sebar    edukasi   batas wag        masif edukasi masyarakat   kenan  no hp  tks"
"109","maklumat ketua  ykki bantu pemerintah maksimal   lawan wabah "
"110","mekanisme berbelitpanjang  alami  rakyat   jangkit   selamat  rakyat indonesia  tanggungjawab negara  negara abai  a  bunuh massal atasiviruscabutomnibus potonggajipejabat shutdownibukotabaru â€"
"111","  salah kalo   intropeksi  coronaupdate  covidindonesia"
"112","  bumi  benah  bumi   istirahat jenak bumi    udara  sejuk bumi   sadar bumi   sabar  bumi   cinta         stayathomeandstaysafe"
"113","semoga  hilang  ramadhan amin ya allahğÿ—"
"114","nyata pesawat lion air jatuh  manila angkut alat medis  â€"
"115","intuk cegah wabah  tugas patroli sampa himbauan  anakanak   main game online  pulangpictwittercomwmhvoxtti"
"116","pamekasan  maret   gubernur jatim  zona merah  â€"
"117","wih data   batas aktivitas  angka infeksi   jakaa   ngawur  hasil lab  tia  adaskrg status odp hijau ğÿ˜‚ â€"
"118","rapat covidalumni   rapat  sengaja  ujung berung  ci caheum lansung  gasibu   du     sabang     bilang meraukepictwittercomckegyedq"
"119","cerita    legendaryguitarist almarhum joko wh gold guys chris kayhatu dkk bhaskara wongemas early funk section mas joko pulang  minggu maret  kota bandung  info wafat  papar coronacovid"
"120","inda  take jahila  kyawon kalo batada  allah protect us from this pandemic"
"121","huu ugojwa  hatari  tuungane ili kuwaelimisha watanzania wenzetu juu ya gojwa hili hatari  covidpictwittercomnkdaxkj"
"122","china  salah   salahcowo  salah pe ngakakkocak dirumahaja   coronavirus lucu pictwittercomrikmswrjcx"
"123","kuli  kunjaku â€"
"124","  masuk minggu   advent   kasusayonara bitchies"
"125","mgkinnn bantuann  "
"126","suruh diorg  claim after  selesai  kali   raja  tumpu  rakyat rakyat rakyat sahaja mane rase rakyat cuba apply   patut pm n menteri sibuk agih duit  rakyat   ais nak kene tggu tmj skolahkan   kut"
"127","bang kayak    bilang malam mati kalo   bang wkwkwk  "
"128","ajar   tapak kaki b puan vivy insya allah    reality  "
"129","semoga masyarakat  dunia  disiplin cegah sebar  putus rantai tular  patuh  instansi wenang  disiplinsesemoga orang sakit  pasien   beambah  tugas  menangani covidmereka pahlawan manusia"
"130","percaya  pemerintah coronavirus    indonesia  indonesia negara tropis minum jamu  sembuh  juta masker sedia orang miskin tular   orang kayak abang ojeknelayan dll bayar kredit tangguh  ya"
"131","   cicil kredit wajib baca restrukturisasi kreditpembiayaan kait dampak  â€"
"132","my mom said    menu shj   ajar time wabak   jimat n  membazir"
"133","misalcm  abang ojolseharian keluarpendapatan  pei   pandemi   eh pulang  masuk gang ditutupmau tidur  bingungakhirnya tidur  sembarang tempatmalah  sakit    maksimalmalah pakai masuk angin    "
"134","besoksenin  suka malas dengar   gegara    malas  kntl"
"135","halo sobat polri ayo warga masyarakat kota metro laksana semprot massalsecara mandiri   senin  maret jam wib  putus rantai  semoga tuhan  maha esa meridhoi ikhtiar   amin ya rabbal alamin metrocegahcorona pictwittercompknembef"
"136"," sibuk hasut     libat   susun bijak pemerintah  penanganan covidblm dengar anggota dewan  ambil gaji  kerja keras susun bijak strategis   eksekutif  legislatif"
"137","lim kit siang kau tido  parlimen  ale nak meeting kat  kau  parlimen sejuk kau  duit juta   je kat sekolah cina takde pon bincang    attend meeting more tahan people gosh ignorant nye kau limkitsiang dap  â€"
"138","pemprov aceh  kubur massal  jenazah  â€ pictwittercomkevwmuk"
"139","anggota komisi ix dpr riâ netty prasetiyani  pemerintah  usaha  hati nasib kerja   pandemi  â€"
"140","halo sobat polri ayo warga masyarakat kota metro laksana semprot massalsecara mandiri   senin  maret jam wib  putus rantai  semoga tuhan  maha esa meridhoi ikhtiar   amin ya rabbal alamin metrocegahcorona pictwittercomtyhkhyu"
"141","pls deh gua  kali  percaya banget   tia  peduli cebongkadrun   benci kadrun   kalo  doski kadrun kontribusi lawan  ya lo  "
"142","masya allah semoga  cpat musnah   slat berjamaah  ad  takut  virusğÿ â€"
"143","brigadir wahyudin anggota bhabinkmatibmas polsek cimanggu laksana giat  pdkt menyambangi posko siaga  desa panimbang beatap muka  bpkbudi ketua rw  anggota   melaksanakanâ€ â€"
"144","buti  yung mic tinitest  covidph"
"145","app log bhi kuch ààà àà‡àà‹   liye sharam karo"
"146","program asatidz barisanbangunnegeri  selebgram against  faktaberitafakta pictwittercomvffikriw"
"147","deh capek banget  hafal gue  tugas bahas covidpictwittercomtqtbbccf"
"148","halo sobat polri ayo warga masyarakat kota metro laksana semprot massalsecara mandiri   senin  maret jam wib  putus rantai  semoga tuhan  maha esa meridhoi ikhtiar   amin ya rabbal alamin metrocegahcorona pictwittercomyoicrwyqx"
"149","    isi    jasmani  makan  minum topup   rohani   solat doa baca al quran sedekah  lakukan perkaraperkara  stayathome"
"150","nasihat   manusia   tuhan  ibadah   mohon ampun   semoga manfaat"
"151","lockdown daerah resmi  lakukan  kah pemerintah pusat  daerah   butuh   dampak   "
"152","   rebut ambil jalan  surga  kontak  derita     dokter  tenaga medis    vaksin sembuh  nyata brilian ğÿ˜ğÿ˜ğÿ˜"
"153","eks paai sakit hati   cari panggung  neger butuh kerjasamaseluruh lapis masyarakat  merang  politik lupa  coy"
"154"," tido mari  doa  esok kasus   turun  baris hadap kkm beri kuat mental  fizikal amin"
"155","coronaupdate   merek ac  rumah klean  jgpictwittercomazeiwv"
"156","  mempeemukan aliansi   carik titik temu   aliansi   permanen    lawan    titik temu aliansi  lawan buzzer narasi manusia  lampau polarisasi politik"
"157","rapid test   positif  coba baca  deh  terjun  lapang biar tau  rapid test positif  tes swab dll gimane  lu"
"158","halo sobat polri ayo warga masyarakat kota metro laksana semprot massalsecara mandiri   senin  maret jam wib  putus rantai  semoga tuhan  maha esa meridhoi ikhtiar   amin ya rabbal alamin metrocegahcorona pictwittercomtddnmqnz"
